Target Distance: 50 , Step Size: 2
1286: (x,y) = (25.7371, -4.49123)
1287: (x,y) = (25.119, -6.39334)
1288: (x,y) = (27.1163, -6.28867)
1289: (x,y) = (25.778, -4.80238)
1290: (x,y) = (25.4997, -2.82184)
1291: (x,y) = (24.9149, -4.73445)
1292: (x,y) = (22.9517, -5.11607)
1293: (x,y) = (21.1858, -6.05501)
1294: (x,y) = (19.3314, -5.3058)
1295: (x,y) = (17.3342, -5.41047)
1296: (x,y) = (17.7841, -7.35921)
1297: (x,y) = (19.7473, -6.97759)
1298: (x,y) = (21.6145, -7.69433)
1299: (x,y) = (23.3465, -8.69433)
1300: (x,y) = (22.0083, -10.1806)
1301: (x,y) = (20.67, -11.6669)
1302: (x,y) = (21.9556, -10.1348)
1303: (x,y) = (21.1104, -11.9474)
1304: (x,y) = (20.2651, -13.7601)
1305: (x,y) = (21.5772, -15.2695)
1306: (x,y) = (19.614, -14.8879)
1307: (x,y) = (20.2651, -16.7789)
1308: (x,y) = (21.8832, -17.9545)
1309: (x,y) = (23.7375, -17.2052)
1310: (x,y) = (25.5919, -16.456)
1311: (x,y) = (23.6028, -16.247)
1312: (x,y) = (25.2001, -17.4506)
1313: (x,y) = (23.2776, -18.0019)
1314: (x,y) = (22.5284, -19.8562)
1315: (x,y) = (22.1811, -17.8866)
1316: (x,y) = (23.1811, -16.1546)
1317: (x,y) = (22.3676, -17.9817)
1318: (x,y) = (23.8539, -19.3199)
1319: (x,y) = (23.819, -21.3196)
1320: (x,y) = (25.3284, -20.0075)
1321: (x,y) = (23.6511, -18.9182)
1322: (x,y) = (24.1687, -20.8501)
1323: (x,y) = (24.4471, -18.8696)
1324: (x,y) = (23.0831, -20.3323)
1325: (x,y) = (25.0755, -20.1579)
1326: (x,y) = (24.2302, -18.3453)
1327: (x,y) = (26.1213, -17.6942)
1328: (x,y) = (25.8775, -15.7091)
1329: (x,y) = (25.9473, -17.7079)
1330: (x,y) = (24.0563, -17.0567)
1331: (x,y) = (24.7403, -18.9361)
1332: (x,y) = (24.6705, -16.9374)
1333: (x,y) = (23.8253, -15.1247)
1334: (x,y) = (22.0433, -14.2168)
1335: (x,y) = (24.0129, -13.8695)
1336: (x,y) = (22.3948, -12.6939)
1337: (x,y) = (20.463, -12.1762)
1338: (x,y) = (22.3302, -11.4595)
1339: (x,y) = (24.0961, -12.3985)
1340: (x,y) = (25.7541, -13.5168)
1341: (x,y) = (27.3301, -14.7482)
1342: (x,y) = (25.335, -14.8877)
1343: (x,y) = (25.6134, -12.9071)
1344: (x,y) = (24.6437, -11.1579)
1345: (x,y) = (26.3018, -12.2763)
1346: (x,y) = (25.818, -14.2169)
1347: (x,y) = (25.6089, -12.2278)
1348: (x,y) = (23.7679, -13.0093)
1349: (x,y) = (22.7983, -14.7585)
1350: (x,y) = (23.5475, -12.9042)
1351: (x,y) = (24.8858, -11.4179)
1352: (x,y) = (25.3696, -9.47729)
1353: (x,y) = (23.3942, -9.16442)
1354: (x,y) = (25.0523, -8.04603)
1355: (x,y) = (24.2071, -9.85865)
1356: (x,y) = (24.6909, -7.91806)
1357: (x,y) = (23.2046, -6.5798)
1358: (x,y) = (23.1, -4.58254)
1359: (x,y) = (24.4893, -6.02122)
1360: (x,y) = (26.2869, -6.89796)
1361: (x,y) = (27.3761, -5.22062)
1362: (x,y) = (27.5505, -3.22823)
1363: (x,y) = (28.0004, -5.17697)
1364: (x,y) = (27.9306, -7.17575)
1365: (x,y) = (29.8793, -7.62565)
1366: (x,y) = (30.5304, -5.73462)
1367: (x,y) = (32.4098, -6.41866)
1368: (x,y) = (31.2627, -4.78035)
1369: (x,y) = (31.9138, -6.67139)
1370: (x,y) = (33.061, -5.03309)
1371: (x,y) = (34.1502, -3.35574)
1372: (x,y) = (32.9466, -4.95302)
1373: (x,y) = (32.429, -3.02116)
1374: (x,y) = (34.3777, -3.47107)
1375: (x,y) = (32.8914, -4.80933)
1376: (x,y) = (31.1094, -5.71731)
1377: (x,y) = (29.1143, -5.5778)
1378: (x,y) = (27.8287, -4.04571)
1379: (x,y) = (27.0795, -5.90007)
1380: (x,y) = (26.266, -7.72717)
1381: (x,y) = (24.3097, -7.31134)
1382: (x,y) = (23.433, -5.51375)
1383: (x,y) = (21.592, -6.29522)
1384: (x,y) = (23.4591, -7.01195)
1385: (x,y) = (21.474, -6.76821)
1386: (x,y) = (21.4042, -4.76943)
1387: (x,y) = (19.7462, -5.88782)
1388: (x,y) = (18.8694, -4.09023)
1389: (x,y) = (18.2514, -2.18812)
1390: (x,y) = (19.2815, -0.473782)
1391: (x,y) = (19.7653, -2.41437)
1392: (x,y) = (21.4974, -3.41437)
1393: (x,y) = (19.4986, -3.48417)
1394: (x,y) = (18.0844, -2.06996)
1395: (x,y) = (16.1618, -1.51868)
1396: (x,y) = (17.9277, -0.579741)
1397: (x,y) = (16.8093, 1.07833)
1398: (x,y) = (17.2932, -0.862257)
1399: (x,y) = (18.5518, 0.692035)
1400: (x,y) = (20.5369, 0.448296)
1401: (x,y) = (20.7807, 2.43339)
1402: (x,y) = (18.9135, 1.71665)
1403: (x,y) = (20.2518, 0.230363)
1404: (x,y) = (20.2518, -1.76964)
1405: (x,y) = (22.2214, -1.42234)
1406: (x,y) = (23.7077, -2.7606)
1407: (x,y) = (25.2171, -1.44848)
1408: (x,y) = (26.5027, 0.0836051)
1409: (x,y) = (24.8644, 1.23076)
1410: (x,y) = (26.6464, 0.322777)
1411: (x,y) = (24.7238, 0.874052)
1412: (x,y) = (23.2144, -0.438066)
1413: (x,y) = (21.2339, -0.716413)
1414: (x,y) = (19.2706, -1.09803)
1415: (x,y) = (20.1474, -2.89562)
1416: (x,y) = (18.5293, -4.07119)
1417: (x,y) = (19.4061, -2.2736)
1418: (x,y) = (20.0241, -4.17571)
1419: (x,y) = (20.9937, -2.42647)
1420: (x,y) = (21.3066, -0.451098)
1421: (x,y) = (21.0283, -2.43163)
1422: (x,y) = (23.0173, -2.22258)
1423: (x,y) = (23.122, -4.21984)
1424: (x,y) = (24.0916, -2.4706)
1425: (x,y) = (25.1514, -4.16669)
1426: (x,y) = (23.5971, -2.90805)
1427: (x,y) = (25.5604, -3.28967)
1428: (x,y) = (23.6379, -2.7384)
1429: (x,y) = (22.1285, -4.05051)
1430: (x,y) = (20.1652, -4.43213)
1431: (x,y) = (18.1679, -4.5368)
1432: (x,y) = (16.1707, -4.64148)
1433: (x,y) = (17.7467, -5.8728)
1434: (x,y) = (15.8061, -6.35664)
1435: (x,y) = (17.7815, -6.04377)
1436: (x,y) = (18.9851, -4.4465)
1437: (x,y) = (19.1594, -2.45411)
1438: (x,y) = (18.7436, -4.41041)
1439: (x,y) = (19.8034, -2.71431)
1440: (x,y) = (19.6291, -0.721922)
1441: (x,y) = (18.9451, -2.60131)
1442: (x,y) = (19.7903, -0.788692)
1443: (x,y) = (21.7855, -0.649179)
1444: (x,y) = (20.5541, -2.2252)
1445: (x,y) = (19.9694, -4.13781)
1446: (x,y) = (21.2007, -2.56179)
1447: (x,y) = (22.2606, -4.25788)
1448: (x,y) = (22.0168, -2.27279)
1449: (x,y) = (23.2204, -0.675521)
1450: (x,y) = (22.4712, -2.52989)
1451: (x,y) = (23.9575, -1.19163)
1452: (x,y) = (22.2614, -0.131789)
1453: (x,y) = (23.7477, -1.47005)
1454: (x,y) = (23.1297, -3.37216)
1455: (x,y) = (24.2768, -5.01047)
1456: (x,y) = (24.1025, -3.01808)
1457: (x,y) = (25.9151, -2.17284)
1458: (x,y) = (25.95, -0.173146)
1459: (x,y) = (27.1256, 1.44489)
1460: (x,y) = (26.2804, 3.2575)
1461: (x,y) = (25.8305, 5.20624)
1462: (x,y) = (24.5991, 3.63022)
1463: (x,y) = (26.5842, 3.38648)
1464: (x,y) = (27.3977, 1.55939)
1465: (x,y) = (27.9825, -0.353217)
1466: (x,y) = (28.6665, -2.2326)
1467: (x,y) = (29.6361, -0.483363)
1468: (x,y) = (31.1224, -1.82162)
1469: (x,y) = (30.004, -0.163549)
1470: (x,y) = (30.5553, -2.08607)
1471: (x,y) = (29.0459, -0.773955)
1472: (x,y) = (31.0213, -1.08682)
1473: (x,y) = (32.0811, 0.609273)
1474: (x,y) = (31.1421, 2.37517)
1475: (x,y) = (29.2628, 3.05921)
1476: (x,y) = (28.5787, 4.93859)
1477: (x,y) = (29.8643, 6.47068)
1478: (x,y) = (28.187, 7.55996)
1479: (x,y) = (26.5096, 6.47068)
1480: (x,y) = (26.2659, 4.48559)
1481: (x,y) = (26.7497, 2.545)
1482: (x,y) = (24.8371, 3.12974)
1483: (x,y) = (25.3548, 1.19789)
1484: (x,y) = (23.8227, -0.087685)
1485: (x,y) = (21.9001, 0.46359)
1486: (x,y) = (23.5962, 1.52343)
1487: (x,y) = (24.313, 3.39059)
1488: (x,y) = (22.3497, 3.00897)
1489: (x,y) = (24.3497, 3.00897)
1490: (x,y) = (22.6916, 4.12736)
1491: (x,y) = (21.9749, 5.99452)
1492: (x,y) = (21.1297, 7.80713)
1493: (x,y) = (21.9749, 9.61975)
1494: (x,y) = (20.2257, 10.5894)
1495: (x,y) = (18.5874, 9.44222)
1496: (x,y) = (16.91, 8.35294)
1497: (x,y) = (17.818, 6.57092)
1498: (x,y) = (16.086, 5.57092)
1499: (x,y) = (14.1838, 6.18896)
1500: (x,y) = (13.7, 8.12955)
1501: (x,y) = (14.7, 9.8616)
1502: (x,y) = (12.7012, 9.9314)
1503: (x,y) = (10.7886, 10.5161)
1504: (x,y) = (12.3646, 9.28482)
1505: (x,y) = (10.3658, 9.35462)
1506: (x,y) = (12.233, 10.0714)
1507: (x,y) = (10.4671, 11.0103)
1508: (x,y) = (9.0044, 12.3743)
1509: (x,y) = (7.91512, 14.0516)
1510: (x,y) = (6.00251, 13.4669)
1511: (x,y) = (6.97213, 15.2161)
1512: (x,y) = (5.07002, 15.8342)
1513: (x,y) = (3.53793, 17.1197)
1514: (x,y) = (5.52302, 16.876)
1515: (x,y) = (6.431, 18.658)
1516: (x,y) = (5.77987, 16.767)
1517: (x,y) = (4.31716, 18.131)
1518: (x,y) = (6.30225, 18.3747)
1519: (x,y) = (8.29951, 18.4794)
1520: (x,y) = (10.2314, 18.997)
1521: (x,y) = (10.749, 20.9289)
1522: (x,y) = (11.4001, 19.0378)
1523: (x,y) = (9.44384, 19.4537)
1524: (x,y) = (9.44384, 21.4537)
1525: (x,y) = (7.46331, 21.732)
1526: (x,y) = (9.4557, 21.9063)
1527: (x,y) = (7.45691, 21.9761)
1528: (x,y) = (8.84623, 23.4148)
1529: (x,y) = (7.24896, 22.2112)
1530: (x,y) = (5.25657, 22.0369)
1531: (x,y) = (3.50733, 21.0672)
1532: (x,y) = (5.39837, 20.4161)
1533: (x,y) = (6.51675, 18.758)
1534: (x,y) = (7.42474, 20.54)
1535: (x,y) = (8.48457, 22.2361)
1536: (x,y) = (6.53583, 22.686)
1537: (x,y) = (6.57074, 24.6857)
1538: (x,y) = (4.65813, 24.101)
1539: (x,y) = (5.14197, 26.0416)
1540: (x,y) = (5.45484, 24.0662)
1541: (x,y) = (6.26831, 25.8933)
1542: (x,y) = (5.81841, 23.9446)
1543: (x,y) = (5.78351, 21.9449)
1544: (x,y) = (4.57988, 20.3476)
1545: (x,y) = (6.32912, 21.3172)
1546: (x,y) = (5.42114, 19.5352)
1547: (x,y) = (5.42114, 17.5352)
1548: (x,y) = (6.73325, 16.0258)
1549: (x,y) = (8.69651, 15.6442)
1550: (x,y) = (8.11177, 17.5568)
1551: (x,y) = (6.79965, 16.0473)
1552: (x,y) = (4.88704, 15.4626)
1553: (x,y) = (5.97632, 17.1399)
1554: (x,y) = (7.20764, 15.5639)
1555: (x,y) = (8.29692, 17.2413)
1556: (x,y) = (8.33182, 19.241)
1557: (x,y) = (8.12276, 17.2519)
1558: (x,y) = (6.70855, 15.8377)
1559: (x,y) = (8.12276, 14.4235)
1560: (x,y) = (6.23173, 13.7724)
1561: (x,y) = (5.95338, 11.7918)
1562: (x,y) = (6.30068, 9.8222)
1563: (x,y) = (8.16784, 9.10547)
1564: (x,y) = (6.23599, 8.58783)
1565: (x,y) = (7.29583, 6.89173)
1566: (x,y) = (9.06172, 7.83067)
1567: (x,y) = (7.62304, 9.21999)
1568: (x,y) = (8.49978, 7.4224)
1569: (x,y) = (8.84708, 5.45279)
1570: (x,y) = (7.09784, 6.42241)
1571: (x,y) = (5.97945, 4.76433)
1572: (x,y) = (5.80514, 2.77194)
1573: (x,y) = (7.03647, 1.19592)
1574: (x,y) = (8.40046, 2.65863)
1575: (x,y) = (6.78243, 1.48306)
1576: (x,y) = (6.36661, 3.43935)
1577: (x,y) = (6.98464, 1.53724)
1578: (x,y) = (5.10525, 2.22128)
1579: (x,y) = (4.22851, 0.423692)
1580: (x,y) = (2.26526, 0.80531)
1581: (x,y) = (3.9426, -0.283968)
1582: (x,y) = (3.56098, -2.24722)
1583: (x,y) = (1.56859, -2.42153)
1584: (x,y) = (-0.420453, -2.63059)
1585: (x,y) = (1.04225, -1.26659)
1586: (x,y) = (-0.67208, -0.236518)
1587: (x,y) = (-2.61267, -0.720362)
1588: (x,y) = (-4.49206, -1.4044)
1589: (x,y) = (-4.283, -3.39345)
1590: (x,y) = (-5.96034, -2.30417)
1591: (x,y) = (-4.26424, -1.24433)
1592: (x,y) = (-5.88228, -2.4199)
1593: (x,y) = (-7.74944, -3.13664)
1594: (x,y) = (-5.8584, -3.78777)
1595: (x,y) = (-7.71277, -3.03856)
1596: (x,y) = (-6.07447, -1.89141)
1597: (x,y) = (-4.08542, -1.68235)
1598: (x,y) = (-6.04868, -1.30073)
1599: (x,y) = (-4.29944, -0.331112)
1600: (x,y) = (-3.84953, -2.27985)
1601: (x,y) = (-4.29944, -0.331112)
1602: (x,y) = (-3.6483, -2.22215)
1603: (x,y) = (-3.06356, -0.30954)
1604: (x,y) = (-4.54985, -1.6478)
1605: (x,y) = (-2.93181, -2.82337)
1606: (x,y) = (-1.61969, -4.33279)
1607: (x,y) = (0.162318, -3.42481)
1608: (x,y) = (2.07493, -4.00955)
1609: (x,y) = (0.927775, -2.37125)
1610: (x,y) = (-0.510905, -3.76057)
1611: (x,y) = (-1.54098, -5.4749)
1612: (x,y) = (0.13636, -4.38562)
1613: (x,y) = (0.754394, -2.48351)
1614: (x,y) = (2.72977, -2.79638)
1615: (x,y) = (4.23919, -1.48426)
1616: (x,y) = (5.20881, 0.264979)
1617: (x,y) = (4.99975, 2.25402)
1618: (x,y) = (5.74897, 0.399656)
1619: (x,y) = (4.63058, 2.05773)
1620: (x,y) = (4.35223, 0.0771946)
1621: (x,y) = (5.26021, -1.70482)
1622: (x,y) = (3.43312, -0.891345)
1623: (x,y) = (1.50127, -1.40898)
1624: (x,y) = (2.47089, -3.15822)
1625: (x,y) = (1.65742, -1.33113)
1626: (x,y) = (3.14371, 0.00712945)
1627: (x,y) = (1.31662, -0.806344)
1628: (x,y) = (1.56036, -2.79144)
1629: (x,y) = (-0.388385, -3.24134)
1630: (x,y) = (-2.04646, -4.35972)
1631: (x,y) = (-3.07654, -2.64539)
1632: (x,y) = (-1.3622, -3.67547)
1633: (x,y) = (0.100506, -5.03946)
1634: (x,y) = (0.516329, -3.08317)
1635: (x,y) = (2.23066, -4.11324)
1636: (x,y) = (4.05775, -3.29977)
1637: (x,y) = (4.9345, -1.50218)
1638: (x,y) = (6.90411, -1.15489)
1639: (x,y) = (6.12265, -2.9959)
1640: (x,y) = (7.87189, -2.02628)
1641: (x,y) = (6.36247, -0.714158)
1642: (x,y) = (8.3576, -0.853671)
1643: (x,y) = (10.2702, -0.268927)
1644: (x,y) = (8.27295, -0.373599)
1645: (x,y) = (9.4201, 1.2647)
1646: (x,y) = (10.5094, -0.412636)
1647: (x,y) = (12.1477, 0.734516)
1648: (x,y) = (10.3818, 1.67346)
1649: (x,y) = (8.63255, 0.70384)
1650: (x,y) = (9.75094, -0.954235)
1651: (x,y) = (11.5329, -1.86222)
1652: (x,y) = (9.54786, -1.61848)
1653: (x,y) = (7.60726, -1.13463)
1654: (x,y) = (8.57688, -2.88387)
1655: (x,y) = (8.47221, -4.88113)
1656: (x,y) = (6.72297, -3.91151)
1657: (x,y) = (8.55006, -3.09804)
1658: (x,y) = (9.63934, -4.77538)
1659: (x,y) = (7.66396, -4.46251)
1660: (x,y) = (9.66396, -4.46251)
1661: (x,y) = (11.4766, -5.30775)
1662: (x,y) = (10.3582, -6.96582)
1663: (x,y) = (10.0109, -4.99621)
1664: (x,y) = (8.02185, -5.20526)
1665: (x,y) = (6.34451, -4.11599)
1666: (x,y) = (6.23984, -6.11325)
1667: (x,y) = (4.52551, -5.08317)
1668: (x,y) = (6.16381, -6.23032)
1669: (x,y) = (7.9909, -7.0438)
1670: (x,y) = (7.47326, -8.97565)
1671: (x,y) = (9.35265, -9.65969)
1672: (x,y) = (8.86881, -11.6003)
1673: (x,y) = (7.19146, -10.511)
1674: (x,y) = (8.39509, -12.1083)
1675: (x,y) = (7.91125, -14.0489)
1676: (x,y) = (8.05076, -16.044)
1677: (x,y) = (6.06567, -15.8003)
1678: (x,y) = (8.02197, -16.2161)
1679: (x,y) = (9.53139, -14.904)
1680: (x,y) = (11.3724, -15.6854)
1681: (x,y) = (12.658, -17.2175)
1682: (x,y) = (13.0396, -19.1808)
1683: (x,y) = (13.4554, -17.2245)
1684: (x,y) = (13.6297, -19.2169)
1685: (x,y) = (11.8026, -20.0303)
1686: (x,y) = (10.364, -21.4196)
1687: (x,y) = (9.91405, -19.4709)
1688: (x,y) = (8.60193, -17.9615)
1689: (x,y) = (8.49726, -19.9587)
1690: (x,y) = (9.98355, -18.6205)
1691: (x,y) = (11.0136, -20.3348)
1692: (x,y) = (9.28158, -19.3348)
1693: (x,y) = (11.2667, -19.0911)
1694: (x,y) = (12.2056, -20.857)
1695: (x,y) = (13.3528, -19.2187)
1696: (x,y) = (11.6947, -20.3371)
1697: (x,y) = (10.6947, -22.0691)
1698: (x,y) = (12.084, -23.5078)
1699: (x,y) = (13.8816, -24.3845)
1700: (x,y) = (14.2974, -22.4282)
1701: (x,y) = (14.2625, -24.4279)
1702: (x,y) = (16.0601, -25.3047)
1703: (x,y) = (14.0613, -25.2349)
1704: (x,y) = (13.0613, -26.9669)
1705: (x,y) = (12.7484, -28.9423)
1706: (x,y) = (14.7117, -29.3239)
1707: (x,y) = (15.6506, -27.558)
1708: (x,y) = (17.2687, -26.3825)
1709: (x,y) = (17.5815, -24.4071)
1710: (x,y) = (19.5803, -24.4769)
1711: (x,y) = (21.5791, -24.4071)
1712: (x,y) = (23.4917, -23.8223)
1713: (x,y) = (23.7701, -25.8029)
1714: (x,y) = (22.1728, -24.5992)
1715: (x,y) = (21.9637, -26.5883)
1716: (x,y) = (21.7894, -28.5807)
1717: (x,y) = (20.3031, -27.2424)
1718: (x,y) = (21.3031, -28.9745)
1719: (x,y) = (22.4503, -30.6128)
1720: (x,y) = (21.9664, -28.6722)
1721: (x,y) = (23.7323, -27.7332)
1722: (x,y) = (22.018, -26.7032)
1723: (x,y) = (24.0031, -26.9469)
1724: (x,y) = (25.0332, -28.6612)
1725: (x,y) = (26.9458, -28.0765)
1726: (x,y) = (27.5638, -26.1744)
1727: (x,y) = (26.5638, -24.4423)
1728: (x,y) = (27.5939, -26.1567)
1729: (x,y) = (28.0438, -24.2079)
1730: (x,y) = (26.3117, -25.2079)
1731: (x,y) = (25.7605, -23.2854)
1732: (x,y) = (25.4476, -21.31)
1733: (x,y) = (23.5566, -21.9612)
1734: (x,y) = (22.8074, -23.8155)
1735: (x,y) = (24.4654, -22.6971)
1736: (x,y) = (22.4849, -22.4188)
1737: (x,y) = (20.5286, -22.8346)
1738: (x,y) = (18.5435, -23.0784)
1739: (x,y) = (16.5545, -23.2874)
1740: (x,y) = (18.5032, -23.7373)
1741: (x,y) = (18.1559, -25.7069)
1742: (x,y) = (16.3149, -26.4884)
1743: (x,y) = (15.2551, -28.1845)
1744: (x,y) = (16.3734, -29.8426)
1745: (x,y) = (17.7628, -31.2812)
1746: (x,y) = (18.9664, -32.8785)
1747: (x,y) = (17.3904, -34.1098)
1748: (x,y) = (17.9751, -36.0224)
1749: (x,y) = (15.9827, -36.1968)
1750: (x,y) = (14.0509, -35.6791)
1751: (x,y) = (13.8418, -33.6901)
1752: (x,y) = (12.1837, -34.8085)
1753: (x,y) = (11.2758, -36.5905)
1754: (x,y) = (11.032, -38.5756)
1755: (x,y) = (11.3449, -40.5509)
1756: (x,y) = (9.95557, -39.1123)
1757: (x,y) = (8.06453, -39.7634)
1758: (x,y) = (9.87715, -40.6086)
1759: (x,y) = (9.94695, -38.6099)
1760: (x,y) = (9.39567, -40.5324)
1761: (x,y) = (7.39842, -40.4277)
1762: (x,y) = (6.81367, -38.5151)
1763: (x,y) = (8.56291, -39.4847)
1764: (x,y) = (6.73582, -40.2982)
1765: (x,y) = (4.82321, -40.8829)
1766: (x,y) = (6.77951, -41.2988)
1767: (x,y) = (5.04746, -42.2988)
1768: (x,y) = (3.65814, -40.8601)
1769: (x,y) = (4.65814, -42.5921)
1770: (x,y) = (4.8672, -40.6031)
1771: (x,y) = (2.94467, -40.0518)
1772: (x,y) = (4.92521, -39.7735)
1773: (x,y) = (4.92521, -41.7735)
1774: (x,y) = (4.54359, -39.8102)
1775: (x,y) = (6.53598, -39.6359)
1776: (x,y) = (7.9253, -38.1972)
1777: (x,y) = (5.96204, -37.8156)
1778: (x,y) = (7.40072, -39.2049)
1779: (x,y) = (5.55971, -39.9864)
1780: (x,y) = (3.6471, -40.5711)
1781: (x,y) = (4.98536, -42.0574)
1782: (x,y) = (3.131, -41.3082)
1783: (x,y) = (1.59891, -40.0226)
1784: (x,y) = (0.0446155, -38.764)
1785: (x,y) = (2.02515, -39.0423)
1786: (x,y) = (0.243139, -38.1343)
1787: (x,y) = (-0.0352076, -40.1149)
1788: (x,y) = (-0.278946, -38.1298)
1789: (x,y) = (-2.02819, -37.1602)
1790: (x,y) = (-0.173818, -36.411)
1791: (x,y) = (-1.79185, -35.2354)
1792: (x,y) = (-2.85169, -33.5393)
1793: (x,y) = (-2.60795, -35.5244)
1794: (x,y) = (-0.705839, -36.1424)
1795: (x,y) = (0.139398, -37.955)
1796: (x,y) = (0.790534, -39.8461)
1797: (x,y) = (-0.8275, -38.6705)
1798: (x,y) = (-1.47864, -40.5615)
1799: (x,y) = (0.118635, -41.7652)
1800: (x,y) = (-0.999751, -40.1071)
1801: (x,y) = (-2.98879, -40.3161)
1802: (x,y) = (-2.919, -38.3174)
1803: (x,y) = (-2.98879, -36.3186)
1804: (x,y) = (-2.20733, -34.4776)
1805: (x,y) = (-3.14628, -32.7117)
1806: (x,y) = (-4.29343, -34.35)
1807: (x,y) = (-3.64229, -32.4589)
1808: (x,y) = (-5.31963, -31.3697)
1809: (x,y) = (-4.86973, -33.3184)
1810: (x,y) = (-6.60178, -34.3184)
1811: (x,y) = (-5.13907, -35.6824)
1812: (x,y) = (-4.45503, -37.5618)
1813: (x,y) = (-4.66409, -39.5508)
1814: (x,y) = (-5.28213, -41.4529)
1815: (x,y) = (-4.56539, -39.5858)
1816: (x,y) = (-6.54593, -39.3074)
1817: (x,y) = (-6.78966, -37.3223)
1818: (x,y) = (-8.69178, -36.7043)
1819: (x,y) = (-6.86469, -37.5178)
1820: (x,y) = (-4.92409, -37.0339)
1821: (x,y) = (-3.3698, -38.2926)
1822: (x,y) = (-4.68192, -39.802)
1823: (x,y) = (-6.62251, -39.3182)
1824: (x,y) = (-8.03673, -40.7324)
1825: (x,y) = (-7.45198, -38.8198)
1826: (x,y) = (-5.61097, -39.6012)
1827: (x,y) = (-7.22901, -40.7768)
1828: (x,y) = (-5.51467, -41.8069)
1829: (x,y) = (-3.52958, -41.5631)
1830: (x,y) = (-3.07968, -43.5119)
1831: (x,y) = (-1.09063, -43.3028)
1832: (x,y) = (0.894458, -43.0591)
1833: (x,y) = (0.343183, -41.1366)
1834: (x,y) = (1.49034, -39.4982)
1835: (x,y) = (2.17438, -41.3776)
1836: (x,y) = (0.460042, -42.4077)
1837: (x,y) = (2.09835, -43.5549)
1838: (x,y) = (2.23786, -41.5597)
1839: (x,y) = (0.899598, -40.0734)
1840: (x,y) = (2.55767, -41.1918)
1841: (x,y) = (4.13369, -42.4232)
1842: (x,y) = (2.45635, -43.5124)
1843: (x,y) = (0.507613, -43.0625)
1844: (x,y) = (-0.751028, -44.6168)
1845: (x,y) = (-0.925339, -46.6092)
1846: (x,y) = (0.386779, -45.0998)
1847: (x,y) = (0.282107, -47.0971)
1848: (x,y) = (-1.41399, -46.0372)
1849: (x,y) = (-1.86389, -47.986)
1850: (x,y) = (-0.377602, -46.6477)
1851: (x,y) = (1.57869, -46.2319)
1852: (x,y) = (-0.248397, -45.4184)
1853: (x,y) = (-2.21801, -45.7657)
1854: (x,y) = (-3.06325, -47.5783)
1855: (x,y) = (-1.44522, -46.4027)
1856: (x,y) = (-0.415139, -44.6884)
1857: (x,y) = (-0.484938, -46.6872)
1858: (x,y) = (1.35607, -45.9057)
1859: (x,y) = (-0.57578, -45.3881)
1860: (x,y) = (1.17346, -44.4185)
1861: (x,y) = (0.522323, -46.3095)
1862: (x,y) = (2.09834, -45.0782)
1863: (x,y) = (3.60776, -43.7661)
1864: (x,y) = (4.6676, -45.4622)
1865: (x,y) = (3.75962, -47.2442)
1866: (x,y) = (5.4177, -46.1258)
1867: (x,y) = (3.75962, -47.2442)
1868: (x,y) = (1.77058, -47.4532)
1869: (x,y) = (2.58405, -45.6261)
1870: (x,y) = (0.671441, -46.2109)
1871: (x,y) = (0.880498, -48.1999)
1872: (x,y) = (-0.558181, -49.5892)
After 1873 steps, the subject has the following location:
(x,y) = (-1.89644, -51.0755)
 or
(m,a) = (51.1107, -92.1264)
Average outward distance per step = 0.0272882
